fetch_date,uid,username,rank,guard_level,accompany,face,medal_name,medal_level,ruid
2026-01-26,9035305,艾尔黛拉ARDELIA,4,3,1606,https://i1.hdslb.com/bfs/face/7924fa67098cbb9649abd1f6616e79b5417297e2.jpg,帅Pi,42,13046
2026-01-26,12173067,暴行-Atrocity,5,3,2038,http://i0.hdslb.com/bfs/face/7b6c55c01ddb35485a6c0ce2f523747c385297de.jpg,帅Pi,41,13046
2026-01-26,518287,琰月,6,3,1770,https://i1.hdslb.com/bfs/face/ea9a97242b315a7a3c84e7c35c80c6d44766403b.jpg,帅Pi,40,13046
2026-01-26,1807815,这就是yog啊,7,3,2177,https://i0.hdslb.com/bfs/face/ae00672c5110c5dfa6d05d38c6eace5fac3fad73.jpg,帅Pi,40,13046
2026-01-26,3555721,CrazyAries,8,3,1816,https://i1.hdslb.com/bfs/face/7aa6e08f6b47a7de11fefb603b25c965168ecc84.jpg,帅Pi,39,13046
2026-01-26,12588810,Euphoria_Rx,9,3,1797,https://i0.hdslb.com/bfs/face/8c3ccb486abd913e6fd01a373d1e3b4633bf7f53.jpg,帅Pi,39,13046
2026-01-26,3237435,哒哒哒哒哒です,10,3,2191,https://i0.hdslb.com/bfs/face/d684f57cc64652aa50d7b6a431507da75c4be555.jpg,帅Pi,39,13046
2026-01-26,263154,Rifuto1543,11,3,1785,https://i0.hdslb.com/bfs/face/5d2c92beb774a4bb30762538bb102d23670ae9c0.gif,帅Pi,39,13046
2026-01-26,13100943,一泡無,12,3,753,https://i0.hdslb.com/bfs/baselabs/6b401d20b02b4570c9142bd2074cb2b9939f7226.png,帅Pi,39,13046
2026-01-26,67141,傲慢的小肉包,13,3,1481,https://i1.hdslb.com/bfs/face/361274190d08a36ed12c58b55dd4063cde3391eb.jpg,帅Pi,38,13046
2026-01-26,2229668,xphmouse,1,2,2197,https://i2.hdslb.com/bfs/face/534f02c7cb41abfab40b09570c51b3fbc1304177.jpg,帅Pi,46,13046
2026-01-26,3625227,介货,2,2,153,https://i0.hdslb.com/bfs/face/8356767f49c56d74d06633d84bf3090a0130325b.jpg,帅Pi,35,13046
2026-01-26,2064222,Ysn先森,3,3,2109,https://i0.hdslb.com/bfs/face/d1819e87a7152243b34074509bfe5e3f7a05c358.jpg,帅Pi,42,13046
